,fecha,estadio,teloneros,lugar
0,"mon, jun 03, 2024",groupama stadium, paramore,lyon
1,"fri, jun 07, 2024",murrayfield, paramore,edinburgh
2,"sat, jun 08, 2024",murrayfield, paramore,edinburgh
3,"sun, jun 09, 2024",murrayfield, paramore,edinburgh
4,"thu, jun 13, 2024",anfield stadium, paramore,liverpool
5,"fri, jun 14, 2024",anfield stadium, paramore,liverpool
6,"sat, jun 15, 2024",anfield stadium, paramore,liverpool
7,"tue, jun 18, 2024",principality stadium, paramore,cardiff
8,"fri, jun 21, 2024",wembley stadium," paramore, mette",london
9,"sat, jun 22, 2024",wembley stadium," paramore, griff",london
10,"sun, jun 23, 2024",wembley stadium," paramore, benson boone",london
11,"fri, jun 28, 2024",aviva stadium, paramore,dublin
12,"sat, jun 29, 2024",aviva stadium, paramore,dublin
13,"sun, jun 30, 2024",aviva stadium, paramore,dublin
14,"thu, jul 04, 2024",johan cruijff arena, paramore,amsterdam
15,"fri, jul 05, 2024",johan cruijff arena, paramore,amsterdam
16,"sat, jul 06, 2024",johan cruijff arena, paramore,amsterdam
17,"tue, jul 09, 2024",letzigrund z端rich, paramore,z端rich
18,"wed, jul 10, 2024",letzigrund z端rich, paramore,z端rich
19,"sat, jul 13, 2024",san siro stadium, paramore,milan
20,"sun, jun 02, 2024",groupama stadium, paramore,lyon
21,"sun, jul 14, 2024",san siro stadium, paramore,milan
22,"wed, jul 17, 2024",veltins-arena, paramore,gelsenkirchen
23,"thu, jul 18, 2024",veltins-arena, paramore,gelsenkirchen
24,"fri, jul 19, 2024",veltins-arena, paramore,gelsenkirchen
25,"tue, jul 23, 2024",volksparkstadion, paramore,hamburg
26,"wed, jul 24, 2024",volksparkstadion, paramore,hamburg
27,"sat, jul 27, 2024",olympiastadion, paramore,munich
28,"sun, jul 28, 2024",olympiastadion , paramore,munich
29,"thu, aug 01, 2024",pge narodowy, paramore,warsaw
30,"fri, aug 02, 2024",pge narodowy, paramore,warsaw
31,"sat, aug 03, 2024",pge narodowy, paramore,warsaw
32,"thu, aug 08, 2024",ernst-happel-stadion, paramore,vienna
33,"fri, aug 09, 2024",ernst-happel-stadion, paramore,vienna
34,"sat, aug 10, 2024",ernst-happel-stadion, paramore,vienna
35,"thu, aug 15, 2024",wembley stadium, paramore,london
36,"fri, aug 16, 2024",wembley stadium, paramore,london
37,"sat, aug 17, 2024",wembley stadium, paramore,london
38,"mon, aug 19, 2024",wembley stadium, paramore,london
39,"tue, aug 20, 2024",wembley stadium, paramore,london
40,"thu, nov 14, 2024",rogers centre, gracie abrams,toronto
41,"fri, nov 15, 2024",rogers centre, gracie abrams,toronto
42,"sat, nov 16, 2024",rogers centre, gracie abrams,toronto
43,"thu, nov 21, 2024",rogers centre, gracie abrams,toronto
44,"fri, nov 22, 2024",rogers centre, gracie abrams,toronto
45,"sat, nov 23, 2024",rogers centre, gracie abrams,toronto
46,"fri, dec 06, 2024",bc place, gracie abrams,vancouver
47,"sat, dec 07, 2024",bc place, gracie abrams,vancouver
48,"sun, dec 08, 2024",bc place, gracie abrams,vancouver
